"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","028_A3","033B","033E-replaced","033_A1","042B","042E","042_A1","054_V2","055_V1","067_A5","115_A2","161_A2","408_A1","442B","442E","442_A3","445_A2","447_A2","447_A3","489_A1","530B","530E","530_A2","552_A1","606_A3"
"leuC_2	group_1009	leuC","leuC_2","3-isopropylmalate dehydratase large subunit	3-isopropylmalate dehydratase large subunit	3-isopropylmalate dehydratase large subunit","14	1	23","14	1	23","1	1	1","1	1	1","346	345	450","113	113	113","2	1	4","","L_01197___25416	L_01196___25414","L_00984___61508	L_00983___61506","L_00983___69017","L_00973___17357","L_01102___80668","L_01038___76646","L_01423___29869","L_01000	L_00999","L_00405___31598	L_00406___31600	L_00407___31602","L_01098___37224	L_01096___37220","L_01032___41487","L_01073___45332","L_00071___7705	L_00070___7703","L_00966___72774","L_00960___65265","L_00962___1987	L_00961___1985","L_01097___49212	L_01096___49210","L_00323___90907","L_01026___57789","L_01044___5888	L_01043___5886","L_01040___84502","L_01061___88446	L_01060___88444","L_01014___21207","L_01843___15127	L_01842___15125","L_01976___55401	L_01977___55403"
"group_1024	group_1023","","cupin 4 family protein	cupin 4 family protein","3	23","3	23","1	1","1	1","36	3365","268	268","1	2","","L_01335___25698","L_01179___61906","L_01170___69398","L_01164___17746","L_01241___80952","L_01173___76922","L_00135___27207	L_00134___27205","L_01185","L_00264___31310","L_01249___37531","L_01171___41771","L_01207___45606","L_00271___8112","L_01154___73157","L_01148___65648","L_01151___2372","L_01311___49646","L_00459___91185","L_01164___58071","L_01184___6174","L_01230___84890","L_01254___88840","L_01202___21591","L_00099___11524","L_01748___54938"
"group_1056	group_1055","","multidrug efflux pump ABC transporter ATPase subunit	multidrug efflux pump ABC transporter ATPase subunit","23	4","23	4","1	1","1	1","2339	2338","43	43","1	4","","L_01655___26368","L_00015___59507","L_00015___67018","L_00014___15376","L_00059___78521","L_00015___74537","L_00353___27655","L_00016","L_01469___33794","L_00018___35004","L_00014___39386","L_00014___43146","L_00932___9485","L_00016___70812","L_00016___63315","L_00016___33","L_00017___46991	L_00018___46993","L_01146___92609","L_00015___55705","L_00015___3768","L_00015___82384","L_00014___86286","L_00014___19139","L_00848___13076","L_00985___53361	L_00984___53359"
"group_1078	group_1080	group_1079","","tRNA (mo5U34)-methyltransferase	tRNA (mo5U34)-methyltransferase	tRNA (mo5U34)-methyltransferase","23	3	1","23	3	1","1	1	1","1	1	1","2123	2023	2122","86	86	86","2	4	1","","L_01822___26716","L_00180___59850","L_00181___67363	L_00180___67361","L_00180___15721","L_00228___78872","L_00185___74890","L_00690___28344","L_00190","L_01297___33437","L_00212___35404","L_00183___39738","L_00180___43492","L_01099___9833","L_00189___71170","L_00188___63671","L_00188___389","L_00210___47392	L_00211___47394","L_01313___92956","L_00183___56054","L_00179___4109","L_00185___82738","L_00185___86642","L_00180___19485","L_01019___13432","L_00791___52962"
"group_1135	group_1134","","polyamine ABC transporter ATPase subunit	polyamine ABC transporter ATPase subunit","3	23","3	23","1	1","1	1","1645	1589","259	259","2	1","","L_00132___23227","L_01674___62936","L_01666___70429","L_01655___18768","L_01743___81995","L_01666___77947","L_00927___28836","L_01659","L_01823___34520","L_01932___38941	L_01931___38939","L_01657___42783","L_01691___46615","L_00748___9106","L_01637___74163","L_01628___66648","L_01636___3382","L_01939___50942","L_00962___92230","L_01673___59128","L_01675___7195","L_01712___85895","L_01749___89870","L_01685___22598","L_00654___12678","L_01199___53800"
"group_1152","","hypothetical protein","23","23","1","1","1813","365","1","","L_00303___23579","L_01527___62632","L_01517___70122","L_01509___18466","L_01581___81661","L_01507___77619","","L_01514","L_01678___34225","L_01772___38611","L_01512___42483","L_01534___46291","L_00600___8800","L_01491___73861","L_01480___66342","L_01488___3076","L_01766___50587","L_00802___91900","L_01511___58794","L_01529___6893","L_01555___85571","L_01587___89537","L_01527___22272","L_00505___12370",""
"purB	group_1203","purB","adenylosuccinate lyase	adenylosuccinate lyase","23	3","23	3","1	1","1	1","1169	1115","49	49","8	7","","L_00681___24353","L_00565___60641","L_00568___68158","L_00560___16502","L_00609___79656","L_00557___75656","L_00905___28792","L_00585","L_00928___32679","L_00647___36296","L_00558___40509","L_00561___44276","L_01475___10605","L_00554___71923","L_00550___64418","L_00551___1138","L_00639___48270","L_01689___93729","L_00562___56833","L_00586___4943","L_00559___83509","L_00571___87436","L_00544___20236","L_01405___14224","L_00349___52058	L_00350___52060"
"moaD	moaC","","putative molybdopterin synthase subunit MoaD	molybdenum cofactor biosynthesis protein C","23	17","23	17","1	1","1	1","245	232","114	114","2	1","","L_00831___24667	L_00832___24669","L_00712___60950	L_00713___60952","L_00715___68467	L_00716___68469","L_00708___16813	L_00709___16815","L_00761___79971","L_00703___75961	L_00704___75963","L_01161___29321","L_00732	L_00733","L_00779___32368	L_00778___32366","L_00819___36652","L_00706___40818","L_00707___44582	L_00708___44584","L_01625___10918	L_01626___10920","L_00701___72230	L_00702___72232","L_00697___64725	L_00698___64727","L_00698___1445","L_00814___48632","L_00004___90254	L_00005___90256","L_00708___57138	L_00709___57140","L_00736___5256","L_00717___83839	L_00718___83841","L_00731___87770","L_00697___20556","L_01565___14557	L_01566___14559","L_00176___51700"
"group_1254	nudC","nudC","NADH pyrophosphatase	NADH pyrophosphatase","4	23","4	23","1	1","1	1","700	702","54	54","3	4","","L_01059___25131","L_00857___61245","L_00861___68764","L_00852___17106","L_00962___80379","L_00900___76361","L_00541___28039","L_00867","L_00543___31885","L_00962___36943	L_00963___36945","L_00897___41207","L_00936___45048","L_01776___11225","L_00844___72521","L_00842___65020","L_00841___1736","L_00954___48917","L_00185___90622","L_00890___57508","L_00909___5607	L_00910___5609","L_00910___84232","L_00930___88175","L_00887___20943","L_01718___14868","L_00001___51345"
"group_1258	rarD","rarD","rarD protein	rarD protein","3	23","3	23","1	1","1	1","712	714","229	229","1	2","","L_01070___25153","L_00868___61267","L_00872___68786","L_00863___17128","L_00973___80401","L_00911___76383","L_00168___27274","L_00878","L_00532___31863","L_00974___36967","L_00908___41229	L_00909___41231","L_00947___45070","L_01787___11247","L_00855___72543","L_00853___65042","L_00852___1758","L_00965___48939","L_00196___90644","L_00901___57530","L_00921___5631","L_00921___84254","L_00941___88197","L_00898___20965","L_01730___14892","L_02098___55653"
"group_1276	mfd","mfd","transcription-repair coupling factor	transcription-repair coupling factor","3	23","3	23","1	1","1	1","326	495","60	60","1	5","","L_01159___25337","L_00944___61425","L_00945___68938","L_00935___17278","L_01063___80587","L_00999___76565","L_01136___29270","L_00963","L_00447___31685","L_01052___37129","L_00995___41410","L_01036___45255","L_00032___7624","L_00925___72689","L_00922___65186","L_00922___1904","L_01054___49124","L_00285___90828","L_00988___57710","L_01005___5807","L_01002___84423","L_01021___88364","L_00977___21130","L_01802___15042","L_02018___55487	L_02019___55489"
"sbcD	sbcD_2","","nuclease SbcCD subunit D	nuclease SbcCD subunit D","23	2","23	2","1	1","1	1","940	912","2	2","9	4","","L_01496___26032","L_01339___62238","L_01330___69730","L_01323___18076","L_01405___81292","L_01336___77260","","L_01343","L_00105___30978","L_01425___37895","L_01330___42101","L_01363___45931","L_00425___8432","L_01307___73475","L_01299___65962","L_01305___2692","L_01484___50005","L_00619___91517	L_00620___91519","L_01328___58411","L_01344___6506","L_01384___85212","L_01411___89168","L_01356___21913","L_00257___11852","L_01574___54577"
"group_1350","","NRDE family protein","23","23","1","1","957","281","1","","L_01509___26060","L_01353___62268","L_01343___69758","L_01337___18106","L_01420___81324","L_01350___77290","L_00866___28712","L_01358","L_00091___30948","L_01443___37933","L_01343___42129","L_01376___45959","L_00439___8462","L_01321___73505","L_01313___65992","L_01319___2722","L_01501___50041","","","L_01360___6540","L_01398___85242","L_01427___89202","L_01369___21941","L_00271___11882","L_01555___54537"
"group_137	ggt_2	group_138	acyI	ggt_1","ggt_1	ggt_1","Gamma-glutamyltranspeptidase precursor	Gamma-glutamyltranspeptidase precursor	Gamma-glutamyltranspeptidase precursor	gamma-glutamyltranspeptidase family protein	Gamma-glutamyltranspeptidase precursor","2	20	15	22	23","2	20	15	22	23","1	1	1	1	1","1	1	1	1	1","1120	1159	1121	1162	1161","47	47	47	47	47","1	5	2	3	4","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits	Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","L_00691___24373	L_00689___24369	L_00688___24367	L_00690___24371","L_00573___60658	L_00572___60656	L_00574___60660","L_00577___68177	L_00575___68173	L_00576___68175","L_00569___16521	L_00567___16517	L_00568___16519","L_00619___79676	L_00617___79672	L_00618___79674","L_00566___75674	L_00564___75670	L_00565___75672","L_00895___28772	L_00897___28776	L_00898___28778	L_00896___28774","L_00593	L_00592","L_00918___32659	L_00920___32663	L_00921___32665	L_00919___32661","L_00656___36314	L_00657___36316	L_00655___36312	L_00658___36318","L_00568___40529	L_00566___40525	L_00565___40523	L_00567___40527","L_00570___44294	L_00568___44290	L_00569___44292","L_01485___10625	L_01483___10621	L_01482___10619	L_01484___10623","L_00564___71943	L_00562___71939	L_00563___71941","L_00559___64436	L_00557___64432	L_00558___64434","L_00560___1156	L_00558___1152	L_00559___1154","L_00648___48288	L_00646___48284	L_00647___48286","L_01698___93747	L_01696___93743	L_01697___93745","L_00570___56849	L_00569___56847	L_00571___56851","L_00596___4963	L_00594___4959	L_00593___4957	L_00595___4961","L_00569___83529	L_00568___83527	L_00570___83531","L_00580___87454	L_00578___87450	L_00579___87452","L_00553___20254	L_00551___20250	L_00552___20252","L_01415___14244	L_01413___14240	L_01412___14238	L_01414___14242","L_00341___52042	L_00340___52040	L_00342___52044"
"group_1389	aniA_2	aniA","aniA","nitrite reductase AniA/Msp78	nitrite reductase AniA/Msp78	nitrite reductase AniA/Msp78","3	1	23","3	1	23","1	1	1","1	1	1","2011	2010	2202","69	69	69","5	1	2","","L_01765___26596","L_00121___59726","L_00122___67239","L_00121___15597","L_00170___78751","L_00127___74769","L_00631___28221","L_00133","L_01356___33560","L_00144___35263","L_00125___39617","L_00122___43370","L_01040___9709","L_00132___71051","L_00131___63552","L_00131___270","L_00143___47253	L_00142___47251	L_00141___47248","L_01256___92837","L_00125___55933","L_00122___3989","L_00126___82614","L_00126___86518","L_00123___19365","L_00961___13310","L_00859___53102"
"group_1524	ftsK","ftsK","DNA translocase FtsK	DNA translocase FtsK","4	23","4	23","1	1","1	1","1678	1680","227	227","2	1","","L_00179___23324","L_01640___62865","L_01631___70357","L_01621___18697","L_01708___81922","L_01632___77876","L_01447___29920	L_01448___29922","L_01625","L_01552___33966","L_01892___38857","L_01623___42712","L_01657___46544","L_00714___9035","L_01603___74092","L_01594___66577","L_01602___3311","L_01902___50865","L_00928___92159	L_00927___92157","L_01639___59057","L_01641___7124","L_01678___85824","L_01715___89799","L_01651___22527","L_00620___12607","L_01236___53877"
"group_1537	group_1539	group_1538","","isocitrate lyase	isocitrate lyase	isocitrate lyase","23	2	3","23	2	3","1	1	1","1	1	1","1734	1730	1055","23	23	23","11	1	2","","L_00235___23441","L_01596___62772","L_01585___70260","L_01577___18604","L_01649___81799","L_01575___77757","L_01506___30043","L_01581","L_01609___34085","L_01845___38758","L_01580___42621","L_01602___46429","L_00669___8940","L_01559___73999	L_01560___74001","L_01549___66482	L_01550___66484","L_01557___3216	L_01558___3218","L_01842___50741","L_00870___92038","L_01580___58934","L_01597___7031","L_01623___85709","L_01657___89679","L_01595___22410","L_00574___12510","L_01287___53984"
"group_1545	pth","pth","peptidyl-tRNA hydrolase	peptidyl-tRNA hydrolase","3	23","3	23","1	1","1	1","1754	1756","53	53","7	5","","L_00249___23469","L_01582___62744","L_01571___70232","L_01563___18576","L_01635___81771","L_01561___77729","L_01520___30071","L_01567","L_01623___34113","L_01829___38726","L_01566___42593","L_01588___46401","L_00654___8910","L_01545___73971","L_01534___66452","L_01543___3188","L_01823___50703","L_00856___92010","L_01565___58904","L_01583___7003","L_01609___85681","L_01642___89649","L_01581___22382","L_00560___12482","L_01306___54022	L_01307___54024"
"group_1553	group_1552	group_1551","","OmpA/MotB domain protein	OmpA/MotB domain protein	OmpA/MotB domain protein","2	2	23","2	2	23","1	1	1","1	1	1","1051	1768	1770","183	183	183","3	1	2","","L_00259___23489","L_01571___62721","L_01561___70211","L_01553___18555","L_01625___81750","L_01551___77708","L_01530___30091","L_01558","L_01633___34133","L_01817___38701","L_01556___42572","L_01578___46380","L_00644___8889","L_01535___73950","L_01524___66431","L_01533___3167	L_01532___3165","L_01812___50680	L_01811___50678","L_00846___91989","L_01555___58883","L_01573___6982","L_01599___85660","L_01631___89626","L_01571___22361","L_00549___12459","L_01318___54046"
"nqrD	group_1591","nqrD","NADH:ubiquinone oxidoreductase Na( )-translocating subunit D	NADH:ubiquinone oxidoreductase Na( )-translocating subunit D","23	3","23	3","1	1","1	1","1916	1024","10	10","8	6","","L_00376___23728","L_01451___62477","L_01441___69967","L_01434___18313","L_01519___81535","L_01446___77495","L_01785___30620","L_01453","L_01740___34352","L_01687___38439","L_01441___42338","L_01472___46164","L_00537___8671","L_01418___73712","L_01409___66197","L_01417___2931","L_01675___50403","L_00730___91754","L_01437___58644","L_01456___6744","L_01494___85446","L_01525___89410","L_01466___22147","L_00442___12241","L_01444___54302	L_01445___54304"
"group_1601	group_1600","","5'-nucleotidase family protein	5'-nucleotidase family protein","3	23","3	23","1	1","1	1","3229	3156","269	269","2	1","","L_00411___23799","L_00295___60086","L_00297___67601","L_00295___15957","L_00347___79116","L_00299___75124","L_00608___28175","L_00304","L_01182___33201","L_00338___35663","L_00300___39978","L_00295___43729","L_01215___10071","L_00304___71407","L_00303___63908","L_00303___626","L_00344___47666","L_01429___93194","L_00300___56294","L_00296___4349","L_00302___82979","L_00304___86887","L_00296___19724","L_01133___13666","L_00656___52686	L_00655___52684"
"group_1645	htpG","htpG","chaperone protein HtpG	chaperone protein HtpG","3	23","3	23","1	1","1	1","1366	1362","68	68","6	3","","L_00546___24073","L_00413___60327","L_00417___67846","L_00411___16194","L_00471___79369","L_00424___75379	L_00425___75381","L_00193___27324","L_00452","L_01064___32960","L_00480___35952","L_00418___40219","L_00430___44004","L_01333___10311","L_00424___71652","L_00422___64151","L_00422___869","L_00487___47956","L_01554___93449","L_00423___56545","L_00451___4663","L_00426___83231","L_00426___87135","L_00413___19962","L_01255___13914","L_00517___52404"
"group_1652	group_1653","","putative 3-ketoacyl-CoA thiolase FadI	putative 3-ketoacyl-CoA thiolase FadI","23	5","23	5","1	1","1	1","1338	1337","42	42","3	5","","L_00564___24109","L_00431___60363","L_00435___67882","L_00429___16230","L_00490___79407","L_00443___75417","L_00174___27286","L_00470","L_01046___32924","L_00499___35990	L_00500___35992","L_00436___40255","L_00448___44040","L_01351___10347","L_00442___71688","L_00440___64187","L_00440___905","L_00509___48000","L_01572___93485","L_00442___56583","L_00469___4699","L_00446___83271","L_00446___87175	L_00447___87177","L_00431___19998","L_01273___13950	L_01274___13952","L_00494___52358"
"group_1687	group_1686	group_1685","","membrane protein	membrane protein	membrane protein","1	3	23","1	3	23","1	1	1","1	1	1","1128	1130	1135","21	21	21","1	10	2","","L_00711___24414","L_00594___60701","L_00596___68216","L_00590___16564","L_00640___79719","L_00586___75715","L_00011___26950","L_00612","L_00899___32620","L_00682___36367","L_00588___40570","L_00591___44337","L_01506___10668","L_00584___71984","L_00579___64477","L_00580___1197","L_00670___48333","L_01718___93788","L_00592___56894","L_00616___5004","L_00591___83574","L_00601___87497	L_00602___87499","L_00572___20293","L_01436___14287","L_00313___51985	L_00312___51983"
"moeA	group_1722","moeA","molybdopterin molybdochelatase	molybdopterin molybdochelatase","23	3","23	3","1	1","1	1","229	251","32	32","4	8","","L_00825___24654","L_00706___60937","L_00708___68452	L_00709___68454","L_00702___16800","L_00753___79955","L_00697___75948","L_01167___29334","L_00726","L_00785___32381","L_00810___36634","L_00700___40805","L_00701___44569","L_01619___10905","L_00695___72217","L_00691___64712","L_00692___1432","L_00807___48618","L_01830___94023","L_00702___57125","L_00730___5243","L_00711___83826","L_00725___87757","L_00691___20543","L_01559___14544","L_00184___51716"
"group_1791	gpsA	gpsA_2","gpsA","glycerol-3-phosphate dehydrogenase	glycerol-3-phosphate dehydrogenase	glycerol-3-phosphate dehydrogenase","3	23	1","3	23	1","1	1	1","1	1	1","3005	3004	2967","214	214	214","2	3	1","","L_01019___25049","L_00817___61163","L_00821___68682","L_00812___17024","L_00921___80295","L_00860___76279","L_00588___28135","L_00827","L_00583___31967","L_00914___36845","L_00857___41125","L_00895___44964","L_01734___11139","L_00803___72437","L_00801___64936","L_00801___1654","L_00908___48823	L_00909___48825","L_00145___90540","L_00850___57426","L_00868___5523","L_00869___84148","L_00890___88093","L_00847___20861","L_01678___14786","L_00045___51435	L_00046___51437"
"trpS	group_1796","trpS","tryptophanyl-tRNA synthetase	tryptophanyl-tRNA synthetase","23	3","23	3","1	1","1	1","2982	2980","132	132","7	2","","L_01033___25077","L_00831___61191","L_00835___68710","L_00826___17052","L_00935___80323","L_00874___76307","L_00572___28103","L_00841","L_00569___31939","L_00932___36881","L_00871___41153","L_00909___44992","L_01749___11169","L_00818___72467","L_00815___64964","L_00815___1682","L_00924___48855","L_00159___90568","L_00864___57454","L_00883___5553","L_00883___84176","L_00904___88121","L_00861___20889","L_01692___14814","L_00029___51403	L_00030___51405"
"group_1817	aceE","aceE","pyruvate dehydrogenase E1 component pyruvate dehydrogenase complex	pyruvate dehydrogenase E1 component pyruvate dehydrogenase complex","3	23","3	23","1	1","1	1","718	717","95	95","4	3","","L_01073___25159","L_00871___61273","L_00875___68792","L_00866___17134","L_00976___80407","L_00914___76389","L_00165___27268","L_00881","L_00529___31857","L_00977___36973","L_00912___41237","L_00950___45076","L_01790___11253","L_00858___72549","L_00856___65048","L_00855___1764","L_00968___48945","L_00199___90650","L_00904___57536","L_00924___5637","L_00924___84260","L_00944___88203","L_00901___20971","L_01733___14898","L_02095___55647	L_02094___55645"
"group_1822	group_1821","","saccharopine dehydrogenase	saccharopine dehydrogenase","23	3","23	3","1	1","1	1","669	738","55	55","4	3","","L_01084___25182","L_00883___61298","L_00886___68815","L_00877___17157","L_00989___80434","L_00927___76416","L_00261___27463","L_00892","L_00518___31834","L_00989___36998","L_00923___41260","L_00961___45099","L_01800___11274","L_00870___72574","L_00867___65071","L_00866___1787","L_00983___48976","L_00211___90675","L_00916___57561","L_00935___5660","L_00936___84285","L_00956___88228","L_00912___20994","L_01745___14923","L_02081___55618	L_02082___55620"
"group_1827	group_1826","","ABC transporter ATPase subunit	ABC transporter ATPase subunit","23	3","23	3","1	1","1	1","667	747","195	195","2	3","","L_01093___25201","L_00892___61317","L_00895___68834","L_00886___17176","L_00998___80453","L_00936___76435","L_00270___27482	L_00271___27484","L_00901","L_00509___31815","L_00998___37017","L_00932___41279","L_00970___45118","L_01809___11293","L_00879___72593","L_00876___65090","L_00876___1808","L_00993___48997","L_00220___90694","L_00925___57580","L_00944___5679","L_00945___84304","L_00965___88247","L_00921___21013","L_01754___14942","L_02072___55599"
"group_188	group_189	rssA_1	group_184	rssA_2	group_186	group_187","rssA_2","esterase	alpha-beta hydrolase family esterase domain protein	NTE family protein rssA	NTE family protein rssA	NTE family protein rssA	esterase	esterase","6	1	23	1	14	2	2","6	1	23	1	14	2	2","1	1	1	1	1	1	1","1	1	1	1	1	1	1","2246	1986	2248	1984	1989	1990	1988","85	85	85	85	85	85	85","7	3	9	2	8	1	5","","L_01727___26518	L_01725___26514	L_01726___26516","L_00084___59651","L_00083___67160","L_00082___15518","L_00130___78669","L_00087___74687","L_01718___30478","L_00093	L_00094","L_01397___33644	L_01396___33642","L_00099___35172	L_00098___35170","L_00083___39531	L_00084___39533","L_00083___43290	L_00081___43286	L_00082___43288","L_01002___9631	L_01000___9627	L_01001___9629","L_00090___70966	L_00091___70968","L_00090___63469	L_00091___63471","L_00090___187	L_00091___189","L_00098___47160	L_00096___47156	L_00097___47158","L_01216___92755","L_00084___55849","L_00082___3908	L_00083___3910","L_00085___82530	L_00083___82526	L_00084___82528","L_00084___86432	L_00085___86434	L_00086___86436","L_00084___19285	L_00082___19281	L_00083___19283","L_00918___13222	L_00919___13224	L_00920___13226","L_00903___53191"
"group_1831	uvrB","uvrB","excinuclease ABC subunit B	excinuclease ABC subunit B","3	23","3	23","1	1","1	1","762	760","56	56","2	1","","L_01106___25230","L_00905___61346","L_00908___68863","L_00899___17205","L_01011___80482","L_00949___76464","L_00285___27515","L_00914","L_00496___31786","L_01011___37046","L_00945___41308","L_00983___45147","L_01822___11322","L_00892___72622","L_00889___65119","L_00889___1837","L_01006___49026	L_01007___49028","L_00234___90725","L_00938___57609","L_00957___5708","L_00959___84334","L_00978___88275","L_00934___21041","L_01767___14971","L_02057___55566"
"recB	recB_2","","exodeoxyribonuclease V beta subunit	exodeoxyribonuclease V beta subunit","23	2","23	2","1	1","1	1","764	664","243	243","1	2","","L_01108___25234","L_00907___61350","L_00910___68867","L_00901___17209","L_01013___80486","L_00951___76468","L_00287___27519","L_00916","L_00494___31782","L_01013___37050	L_01014___37052","L_00947___41312","L_00985___45151","","L_00894___72626","L_00891___65123","L_00891___1841","L_01009___49032","L_00236___90729","L_00940___57613","L_00959___5712","L_00961___84338","L_00980___88279","L_00936___21045","L_01769___14975","L_02055___55562"
"dnaB	group_1857","dnaB","replicative DNA helicase	replicative DNA helicase","23	3","23	3","1	1","1	1","438	348","100	100","3	4","","L_01206___25435","L_00993___61527","L_00992___69036","L_00982___17376","L_01111___80687","L_01047___76665","L_00323___27593","L_01009","L_00395___31577","L_01107___37242","L_01041___41506","L_01082___45351","L_00080___7724","L_00975___72793","L_00969___65284","L_00971___2006","L_01107___49233","L_00332___90926","L_01035___57808","L_01053___5907","L_01049___84521","L_01070___88465","L_01023___21226","L_01852___15146","L_01967___55382	L_01966___55380"
"group_1878	group_1879","","hypothetical protein	hypothetical protein","23	3","23	3","1	1","1	1","378	379","246	246","1	2","","L_01253___25531","L_01038___61619","L_01036___69126","L_01027___17468","L_01156___80779","L_01091___76755","L_01379___29780","L_01054","L_00351___31487","L_01155___37340","L_01087___41600","L_01126___45441","L_00125___7816","L_01019___72883","L_01013___65374","L_01015___2096","L_01154___49329","L_00376___91016","L_01080___57900","L_01100___6003","L_01094___84613","L_01116___88559","L_01068___21318","L_01898___15240","L_01916___55278	L_01917___55280"
"group_1943	group_1944","","ABC transporter substrate binding protein	ABC transporter substrate binding protein","23	3","23	3","1	1","1	1","964	966","94	94","5	4","","L_01515___26072","L_01359___62280","L_01349___69770","L_01343___18118","L_01426___81336","L_01356___77302","L_00860___28699","L_01364","L_00085___30935","L_01451___37949","L_01349___42141","L_01382___45971","L_00445___8474","L_01327___73517","L_01318___66002","L_01325___2734","L_01507___50053","L_00639___91559","L_01347___58451","L_01366___6552","L_01404___85254","L_01433___89214","L_01375___21953","L_00277___11894","L_01548___54523	L_01547___54520"
"kdtA	group_1947","kdtA","3-deoxy-D-manno-octulosonic-acid transferase KdtA	3-deoxy-D-manno-octulosonic-acid transferase KdtA","23	3","23	3","1	1","1	1","975	901","182	182","1	3","","L_01522___26088","L_01367___62298","L_01356___69786","L_01350___18134","L_01433___81352","L_01363___77318","L_00851___28680","L_01371","L_00078___30920","L_01459___37967","L_01357___42159","L_01389___45987","L_00452___8490","L_01335___73535","L_01326___66020","L_01332___2750","L_01515___50071	L_01514___50069","L_00646___91575","L_01354___58467","L_01373___6568","L_01411___85270","L_01440___89230","L_01383___21971","L_00284___11910","L_01539___54503"
"group_198	group_197	group_196	group_195","","amino acid/peptide transporter family protein	amino acid/peptide transporter family protein	amino acid/peptide transporter family protein	amino acid/peptide transporter family protein","2	6	3	23","2	6	3	23","1	1	1	1","1	1	1	1","1178	1179	1176	1177","28	28	28	28","5	6	7	11","","L_00676___24343","L_00560___60631","L_00563___68148	L_00562___68146","L_00555___16492","L_00606___79650	L_00605___79648","L_00554___75650	L_00553___75648","L_00908___28798	L_00909___28800","L_00581","L_00934___32691	L_00935___32693","L_00642___36286	L_00641___36284	L_00640___36282","L_00554___40501","L_00558___44270","L_01472___10599","L_00551___71917","L_00547___64412","L_00548___1132","L_00633___48258	L_00632___48256","L_01685___93721","L_00559___56827","L_00582___4935	L_00581___4933","L_00556___83503","L_00567___87428","L_00541___20230","L_01401___14216","L_00353___52066"
"group_1966	group_1967	group_1964	group_1965","","methyltransferase small	methyltransferase small	methyltransferase small	methyltransferase small","1	3	23	3","1	3	23	3","1	1	1	1","1	1	1	1","2387	2389	2388	2390","71	71	71	71","6	8	2	4","","L_01624___26304","L_01823___63245","L_01816___70740	L_01817___70742","L_01802___19073","L_01900___82318","L_01816___78256","L_01849___30751","L_01810","L_01501___33860","L_02116___39318","L_01802___43082","L_01839___46921","L_00899___9417","L_01785___74469	L_01786___74471","L_01774___66950","L_01791___3702","L_02115___51303	L_02116___51305","L_01115___92545","L_01825___59441","L_01836___7525","L_01871___86222","L_01914___90209	L_01913___90207","L_01843___22923","L_00816___13010","L_01019___53431	L_01020___53433"
"ribE_2	ribE_1	ribE	group_1968","ribE_1","riboflavin synthase alpha subunit	riboflavin synthase alpha subunit	riboflavin synthase alpha subunit	riboflavin synthase alpha subunit","1	10	23	1","1	10	23	1","1	1	1	1","1	1	1	1","1953	2373	2372	2374","66	66	66	66","2	3	4	1","","L_01634___26324","L_01833___63265	L_01834___63267","L_01827___70762	L_01828___70764","L_01812___19093	L_01813___19095","L_01910___82338","L_01826___78276","L_00331___27609","L_01820","L_01491___33840","L_02127___39340	L_02126___39338","L_01812___43102","L_01849___46941","L_00909___9437	L_00910___9439","L_01796___74491","L_01784___66970	L_01785___66972","L_01801___3722","L_02127___51327	L_02126___51325","L_01125___92565","L_01834___59459	L_01835___59461","L_01846___7545","L_01881___86242","L_01924___90229	L_01925___90231","L_01852___22941","L_00826___13030	L_00827___13032","L_01010___53413"
"group_1996	group_1995","","disulfide bond isomerase family protein	disulfide bond isomerase family protein","4	23","4	23","1	1","1	1","1970	2289","81	81","5	4","","L_01689___26437","L_00048___59574","L_00048___67085","L_00047___15443","L_00093___78590","L_00050___74608","L_01756___30559","L_00056","L_01433___33720","L_00056___35081	L_00055___35079","L_00046___39452","L_00046___43211","L_00965___9552","L_00055___70891","L_00055___63394","L_00055___112","L_00057___47072	L_00056___47070","L_01180___92678","L_00049___55774","L_00047___3833","L_00048___82451","L_00049___86357","L_00047___19206","L_00882___13145","L_00942___53273"
"group_1999	group_1998	group_1997","","hypothetical protein	hypothetical protein	hypothetical protein","23	2	2","23	2	2","1	1	1","1	1	1","2279	2278	2277","173	173	173","1	5	4","","L_01699___26458","L_00058___59595","L_00058___67106","L_00057___15464","L_00103___78611","L_00060___74629","L_01746___30538","L_00066","L_01423___33699","L_00069___35108","L_00056___39473","L_00056___43232","L_00975___9573","L_00065___70912","L_00065___63415","L_00065___133","L_00067___47093	L_00068___47095","L_01190___92699","L_00059___55795","L_00057___3854","L_00058___82472","L_00059___86378","L_00057___19227","L_00893___13168","L_00930___53249	L_00929___53246"
